Domain (Unicode), Domain (IDNA), Domain (hex), Resolved IP, MX registered
iny.pl,iny.pl,696e792e706c,64.190.63.222,true
inyg.pl,inyg.pl,696e79672e706c,,false
inz.pl,inz.pl,696e7a2e706c,188.128.255.251,false
inzg.pl,inzg.pl,696e7a672e706c,,false
inĝ.pl,xn--in-sna.pl,786e2d2d696e2d736e612e706c,,false
inğ.pl,xn--in-yna.pl,786e2d2d696e2d796e612e706c,,false
inġ.pl,xn--in-4na.pl,786e2d2d696e2d346e612e706c,,false
inģ.pl,xn--in-boa.pl,786e2d2d696e2d626f612e706c,,false
inǥ.pl,xn--in-x4a.pl,786e2d2d696e2d7834612e706c,,false
inǧ.pl,xn--in-34a.pl,786e2d2d696e2d3334612e706c,,false
inǵ.pl,xn--in-b6a.pl,786e2d2d696e2d6236612e706c,,false
inɡ.pl,xn--in-kgb.pl,786e2d2d696e2d6b67622e706c,,false
inɢ.pl,xn--in-ngb.pl,786e2d2d696e2d6e67622e706c,,false
iog.pl,iog.pl,696f672e706c,193.177.164.3,true
irg.pl,irg.pl,6972672e706c,188.128.255.251,false
irng.pl,irng.pl,69726e672e706c,,false
iñg.pl,xn--ig-zja.pl,786e2d2d69672d7a6a612e706c,,false
ińg.pl,xn--ig-3qa.pl,786e2d2d69672d3371612e706c,,false
iņg.pl,xn--ig-9qa.pl,786e2d2d69672d3971612e706c,,false
iňg.pl,xn--ig-gra.pl,786e2d2d69672d6772612e706c,,false
iǹg.pl,xn--ig-m6a.pl,786e2d2d69672d6d36612e706c,,false
iṅg.pl,xn--ig-jxs.pl,786e2d2d69672d6a78732e706c,,false
iṇg.pl,xn--ig-pxs.pl,786e2d2d69672d7078732e706c,,false
iṉg.pl,xn--ig-vxs.pl,786e2d2d69672d7678732e706c,,false
iꞑg.pl,xn--ig-7z8h.pl,786e2d2d69672d377a38682e706c,,false
jng.pl,jng.pl,6a6e672e706c,185.253.212.22,true
kng.pl,kng.pl,6b6e672e706c,104.21.39.18,true
lng.pl,lng.pl,6c6e672e706c,188.128.255.251,false
login-ing.pl,login-ing.pl,6c6f67696e2d696e672e706c,,false
login-redirect-ing.pl,login-redirect-ing.pl,6c6f67696e2d72656469726563742d696e672e706c,,false
mng.pl,mng.pl,6d6e672e706c,104.247.81.99,false
ng.pl,ng.pl,6e672e706c,193.239.44.85,true
nig.pl,nig.pl,6e69672e706c,188.128.255.251,false
ong.pl,ong.pl,6f6e672e706c,188.128.255.251,false
security-ing.pl,security-ing.pl,73656375726974792d696e672e706c,,false
tng.pl,tng.pl,746e672e706c,188.128.255.251,false
ung.pl,ung.pl,756e672e706c,188.128.255.251,false
web-login-ing.pl,web-login-ing.pl,7765622d6c6f67696e2d696e672e706c,,false
wwing.pl,wwing.pl,7777696e672e706c,,false
www-ing.pl,www-ing.pl,7777772d696e672e706c,,false
wwwing.pl,wwwing.pl,777777696e672e706c,157.90.33.74,false
yng.pl,yng.pl,796e672e706c,185.253.212.22,true
ìng.pl,xn--ng-jja.pl,786e2d2d6e672d6a6a612e706c,,false
íng.pl,xn--ng-mja.pl,786e2d2d6e672d6d6a612e706c,,false
ïng.pl,xn--ng-sja.pl,786e2d2d6e672d736a612e706c,,false
īng.pl,xn--ng-xoa.pl,786e2d2d6e672d786f612e706c,,false
ĭng.pl,xn--ng-3oa.pl,786e2d2d6e672d336f612e706c,,false
ıng.pl,xn--ng-gpa.pl,786e2d2d6e672d6770612e706c,,false
łng.pl,xn--ng-wqa.pl,786e2d2d6e672d7771612e706c,,false
ǐng.pl,xn--ng-22a.pl,786e2d2d6e672d3232612e706c,,false
ȋng.pl,xn--ng-47a.pl,786e2d2d6e672d3437612e706c,,false
ɨng.pl,xn--ng-3gb.pl,786e2d2d6e672d3367622e706c,,false
ɩng.pl,xn--ng-6gb.pl,786e2d2d6e672d3667622e706c,,false
ɫng.pl,xn--ng-dhb.pl,786e2d2d6e672d6468622e706c,,false
ỉng.pl,xn--ng-t8s.pl,786e2d2d6e672d7438732e706c,,false
ịng.pl,xn--ng-z8s.pl,786e2d2d6e672d7a38732e706c,,false
